,Name,Movie_ID,Rating,Duration,Description,Release_Date,Total_Revenue
232,Colored Dress,2048148,0,40 minutes,"The story of the lives of 15 women and their various stories of success despite the difficult circumstances they go through, demonstrating how they fit the idea of a strong independent woman.",18 January,
233,Bekia,2048098,5.5,98 minutes,"An international organization tries to kidnap Mustafa (Mohammed Ragab), an Egyptian cancer and AIDS medicine researcher, who could save humanity from these diseases, which leads him to escaping and...Read more",19 August,
234,Karma,2047938,6.3,122 minutes,"The film covers two parallel stories, one about a wealthy Muslim called Adham who is extremely classist, and the other about a poor Christian named Watany who dreams of finding a treasure and getting...Read more",16 June,
235,Etla'ooli Barra,2047854,5.1,90 minutes,"A young man living in a local area, one day finds a book called "" Let's Take This Outside"" about how each person has many personalities inside of him, and when he reads it, a number of...Read more",17 January,
236,El-Diesel,2047852,3.7,93 minutes,"Stuntman Badr the Diesel lives in a poor neighborhood. He meets Donia El- Sayad, a famous movie star, whose assistant, Afaf, is Badr’s Fiancée. When Afaf gets killed, he decides to seek revenge and...Read more",21 August,
237,Al-Khawaga's Dilemma,2047725,5.9,110 minutes,"The movie revolves around the ambitious middle-class young man Faris, who is in love with the daughter of an influential businessman. The duo gets into many mishaps, as Faris sets out to avenge the...Read more",6 January,
238,Nos Gawaza,2047456,5.6,87 minutes,"When an accident causes a couple to lose their memory of the last ten years, they get into a lot of comedic situations.",14 February,
239,3otl fanny,2046473,0,Unreleased,,,
240,Raghda Motawahesha,2045976,7.4,92 minutes,Ismail ( Ramez Galal) works as a makeup artist at a beauty salon. He has recently got divorced and is now raising his son on his own. When he learns that an ad director is looking to hire a young...Read more,17 January,
241,Ward Masmoum,2044228,4.1,70 minutes,"Tahiyya is a young woman who works as a cleaning lady, cleaning toilets. She has one brother, Sakr, who she depends on for everything. Sakr decides to illegally immigrate to Italy, causing her to lead...Read more",28 November,
242,Alkhrog An Elnas,2044189,4.4,85 minutes,A film director who is facing a major financial crisis turns his life upside down when he turns to drug trafficking.,28 March,
243,Talq Sina'iee,2044028,7.4,90 minutes,"A husband discovers that his pregnant wife has taken pills to speed up the delivery process while seeking a visa to America, in order to give birth on American soil so that their son would obtain the...Read more",3 January,
244,My wife fiance,2022161,0,Unreleased,,,
245,Turab el Mass,2022171,8.3,162 minutes,"Taha works at a pharmacy and lives with his paraplegic father. When Taha comes home to find his father murdered, he discovers previously-unknown dark secrets about his father's life through the...Read more",16 August,
246,Alb Eswed,2034826,4.6,90 minutes,Shehab (Ahmed Haroun) is a corrupt businessman who collects his fortune illegally and has doubts about his wife's behavior and decides to leave her. He then disappears in mysterious circumstances...Read more,11 April,
247,Qesti Beyewga'ni,2042201,5.4,110 minutes,"(Hani Ramzi) lives a simple life, working as a bill and installments collector for electrical appliances, where he faces many comic paradoxes during his work due to the high prices in Egypt.",4 April,
248,Ali Baba,1778748,5.8,110 minutes,"Ali is an opportunistic person who only cares about his own interests, even at the expense of others. When he discovers that he has a daughter in her twenties, he experiences a number of comedic...Read more",28 March,
249,Qesti Beyewga'ni,2042201,5.4,110 minutes,"(Hani Ramzi) lives a simple life, working as a bill and installments collector for electrical appliances, where he faces many comic paradoxes during his work due to the high prices in Egypt.",4 April,
250,Plastic,2055531,5.6,Released,,,
251,The City will Pursue You,2051591,0,70 minutes,"In a country that is suffocating inside a bubble of corruption and deterioration, Ossama follows stories of old buildings being demolished and historical landmarks disappearing. He encounters...Read more",,
252,Cactus Flower,2049802,6.7,102 minutes,"Aida, a rising actress from a rural background, finds herself overnight thrown out on the streets with her bourgeois withdrawn neighbor, Samiha. With the help of a young man named Yassin, they begin...Read more",28 January,
253,Feather,2049782,0,10 minutes,,,
254,Red Velvet,2049586,0,15 minutes,,,
255,Something Cold,2049585,0,20 minutes,,,
256,Kl alturuq tuadiy 'iilaa ruma,2049581,0,15 minutes,"Amal, a young Egyptian woman, decides to flee the country and migrate behind her family's back, but she is shocked to learn that she's pregnant by her boyfriend whom she left a month earlier.",24 November,
257,Al-Bahth An Um Kalthoum,2048944,4.1,90 minutes,"An Iranian filmmaker is searching for an actress that resembles Umm Kulthum. Through this journey, we get a depiction of how strong and persistent Umm Kulthum was.",2 September,
258,Al-Fondoq,2048887,4.3,99 minutes,The intertwined lives of a group of people residing at the same hotel as their stories complicate and unfold revealing their darkest secrets and desires.,25 October,
259,I Have A Picture: Film No. 1001 In The Life Of The Oldest Extra In The World,2048605,0,72 minutes,"With the help of El Homossany, one of the oldest assistant directors in Egypt, Zedan, a young indie filmmaker, is making a documentary about Motawe Eweis, who has worked as an extra in about 1000...Read more",24 September,
260,Newton's Third Law,2048573,0,11 minutes,,,
261,My Festival,2048572,0,8 minutes,,,
262,Horoob Mofagi,2048016,2.4,88 minutes,"Nader is a former pilot who retired because of the embezzlement cases in which his father is accused of. He sets out to look for Zeina, the girl he was in a relationship with, who suddenly...Read more",31 August,
263,Aman Ya Sahabi,2047945,3.1,79 minutes,Two singers living on Mohammed Ali Street with tough financial conditions. A friend of theirs suggests that they meet women from well-off families and marry them. They set out to meet Shaira and...Read more,31 August,
264,MSH INDE,2047919,0,90 minutes,,,
265,Bath Mobasher,2047883,6.5,90 minutes,"As the night goes on, Faris, a suspended officer, finds himself involved in a growing number of events. His life becomes more complicated when someone starts filming his troubles and broadcasting them...Read more",31 August,
266,Mesteka and Rehan,2047774,0,60 minutes,,,
267,Hadeth Al-Nile Hilton,2047624,6.5,106 minutes,"As the Egyptian revolution breaks out, an officer investigates the murder of a prostitute. What initially appears like an ordinary case takes a turn when he discovers the complicity of some of the...Read more",29 September,
268,Leil Dakheli,2047604,4,85 minutes,A portrayal of the behind-the-scenes struggles of movie-making. A crime during filming uncovers the corrupted nature of some producers as well as the illicit ways funding is received through famous...Read more,16 August,
269,اغتصاب (اسلوب حياة),2047416,0,Released,,,
270,"Grandpa, the Troublemaker",2047084,4.2,Released,"An introverted, shy young man struggles to find his place in society while dealing with its people and his surroundings, until an accident turns his life upside down. But will it be enough to bring...Read more",30 July,
271,Dear Animal,2046940,0,30 minutes,,,
272,Omar El-Azraq,2046934,4.9,110 minutes,"The story follows a drug dealer's long journey until he became a major trader who has many enemies in the market. When a number of competing traders bloc to eliminate him, he decides to escape...Read more",2 August,
273,Omaret Roushdy,2046742,4,93 minutes,"The story of the infamous Roushdy building in Alexandria which is believed to be haunted, leaving anyone who tries to live in it in the street. An evil guy tries to prove that the rumors are true.",13 December,
274,Sokkar Barra,2046595,5.5,88 minutes,"A group of friends meet at a wedding party after years of separation. During the wedding, an event takes place that changes the course of the night and all their lives.",29 March,
275,Hold Your Position,2046590,3.8,86 minutes,"Ayman is a casting agent who lives a very liberal life. Hazem is a responsible man who lives a routine life with his wife and kids. As their different personalities pit them against each other, their...Read more",12 April,
276,Khair W Baraka,2046547,5.5,110 minutes,"Two brothers who are looking for a job, find themselves in many comedic situations during their search journey and when they work in professions they know nothing about.",30 August,
277,Yeg'alo 'amer,2046519,3.8,88 minutes,"Amer (Ahmed Rizk) is a hesitant person who doubts all those around him, including his wife whom he divorces three time and it affects their only child, Karim.",12 April,
278,Petra: The Gate Of Time,2046518,6.3,86 minutes,"A group of young people travels to the Jordanian city, Petra, in order to prove a scientific theory associated with the city, but they end up facing countless problems.",29 March,
279,Endama Yaqa' El Insan Fi Mostanqa' Afkaro Fayanahi Bi Al-Amr Ela Al-Mahzala,2046449,5,97 minutes,"Hani, a beautician, Bebo, a jihadist who recently joined an Islamic extremist group, and Samir, a drug dealer, are on a trip to Lebanon. The three of them are captured by the extremist group and try...Read more",5 April,
280,Remote Control,2046367,0,Released,,19 February,
281,Movies Scenes,2046365,5,Released,,3 February,
282,Bank El Hazz,2045753,6.8,122 minutes,"After Mohamed Saleh (Mohamed Mamdouh) gets fired because of his ongoing abuses against customers, he plots with his colleague Amr (Akram Hosni), and Zaro (Mohamed Tharwat) their partner in the...Read more",5 April,
283,Mamnoo' Al-Ekterab Aw El-Tasweer,2045674,5.6,106 minutes,"Thoraia comes from a wealthy, aristocratic family. She owns a building in Helwan, and part of the building has been taken over by a Police Station. Thoraia decides to file a lawsuit in order to get...Read more",15 March,
284,Bashtery Ragel,2045603,7.2,100 minutes,"Shams Nour El Din is an Egyptian bank employee who dreams of becoming a mother and having her own baby, but the problem is that she refuses the idea of marriage. She finds a solution to her dilemma...Read more",14 February,
285,Shantet Hamza,2045601,6.4,85 minutes,A professional con man (Hamada Hilal) falls in love with a powerful woman who used to work for an infamous con gang.,31 August,
286,Photocopy,2045418,7.6,90 minutes,"Mahmoud is man in his late 50s, who owns a photocopying store. When he comes across a topic about dinosaurs, he becomes obsessed with searching for the causes of its extinction, which leads him to...Read more",20 December,
287,We're Not Heading Into Trouble,2045048,4.5,82 minutes,"A group of careless, aimless youth can only live their lives recklessly. They spend their time at nightclubs with women, until an incident forces them to change the way they think. But what is this...Read more",12 April,
288,Akher Deek Fe Masr,2045043,6.1,110 minutes,"Alaa Al-Deek (Mohammed Ramadan) is a bank employee, who hates women from a young age and avoids dealing with his family women. When all the men in his family die in a Nile cruise, he has to take full...Read more",25 January,
289,Tesbah Ala Khair,2045006,8,100 minutes,"A successful and wealthy engineer named Hossam El-Khedaiwy, who has recently suffered from problems in his normal life, resorts to an alternative life through a new device to enter the dream world.",25 June,
290,El-Asleyeen,2044362,7.4,120 minutes,"Samir Alaiwa, a bank employee who is suddenly fired after a decision to cut labor. He tries to look for a new job, then he finds a cell phone at his door step that contains photos and videos from his...Read more",25 June,
291,Horob Edterary,2044358,7.6,103 minutes,"When the businessman Yahya Zakaria (Mohamed Farrag) is killed, four people are ...Read more",25 June,
